index,cos_value
1083,0.67439556
1084,0.67382902
1085,0.67326212
1086,0.67269480
1087,0.67212707
1088,0.67155898
1089,0.67099047
1090,0.67042160
1091,0.66985226
1092,0.66928262
1093,0.66871250
1094,0.66814202
1095,0.66757119
1096,0.66699994
1097,0.66642827
1098,0.66585624
1099,0.66528380
1100,0.66471100
1101,0.66413778
1102,0.66356415
1103,0.66299015
1104,0.66241574
1105,0.66184098
1106,0.66126585
1107,0.66069025
1108,0.66011435
1109,0.65953797
1110,0.65896130
1111,0.65838420
1112,0.65780669
1113,0.65722883
1114,0.65665054
1115,0.65607190
1116,0.65549284
1117,0.65491343
1118,0.65433365
1119,0.65375346
1120,0.65317285
1121,0.65259188
1122,0.65201056
1123,0.65142882
1124,0.65084666
1125,0.65026420
1126,0.64968133
1127,0.64909804
1128,0.64851439
1129,0.64793038
1130,0.64734596
1131,0.64676118
1132,0.64617598
1133,0.64559042
1134,0.64500451
1135,0.64441824
1136,0.64383155
1137,0.64324445
1138,0.64265704
1139,0.64206922
1140,0.64148104
1141,0.64089245
1142,0.64030349
1143,0.63971418
1144,0.63912445
1145,0.63853437
1146,0.63794392
1147,0.63735306
1148,0.63676184
1149,0.63617027
1150,0.63557833
1151,0.63498598
1152,0.63439327
1153,0.63380021
1154,0.63320673
1155,0.63261294
1156,0.63201874
1157,0.63142413
1158,0.63082922
1159,0.63023388
1160,0.62963820
1161,0.62904215
1162,0.62844574
1163,0.62784898
1164,0.62725180
1165,0.62665433
1166,0.62605643
1167,0.62545812
1168,0.62485951
1169,0.62426049
1170,0.62366116
1171,0.62306142
1172,0.62246132
1173,0.62186080
1174,0.62125999
1175,0.62065876
1176,0.62005723
1177,0.61945528
1178,0.61885297
1179,0.61825031
1180,0.61764729
1181,0.61704391
1182,0.61644018
1183,0.61583608
1184,0.61523157
1185,0.61462677
1186,0.61402154
1187,0.61341602
1188,0.61281008
1189,0.61220378
1190,0.61159712
1191,0.61099017
1192,0.61038280
1193,0.60977513
1194,0.60916704
1195,0.60855860
1196,0.60794979
1197,0.60734063
1198,0.60673112
1199,0.60612130
1200,0.60551107
1201,0.60490048
1202,0.60428953
1203,0.60367823
1204,0.60306662
1205,0.60245460
1206,0.60184222
1207,0.60122955
1208,0.60061646
1209,0.60000306
1210,0.59938931
1211,0.59877515
1212,0.59816068
1213,0.59754586
1214,0.59693068
1215,0.59631515
1216,0.59569931
1217,0.59508306
1218,0.59446651
1219,0.59384954
1220,0.59323233
1221,0.59261471
1222,0.59199673
1223,0.59137839
1224,0.59075969
1225,0.59014070
